temperature_C,pH,enrichment,thymine_fraction,dna_yield,half_life_hours,stability_ratio,k_U,k_T,k_C,k_A,poly_rate,uv_resistance_ratio,vesicle_fraction,comp_U,comp_T,comp_C,comp_A
58.0,6.0,0.47184925533155936,0.03875090502722951,218775.0770592972,16.017383120009853,95.20963329829551,1.29475482657089e-05,1.2362717947347086e-07,5.1475893030473285e-05,2.0498796403082106e-06,0.02618653561919856,4.107142857142857,0.3655,142301.0,6155.0,907.0,9472.0
58.0,6.5,0.4764856003840145,0.039131667664387665,225620.40013064246,15.985231930214647,95.31404370230142,1.297282188585605e-05,1.237328098105081e-07,5.1536539602802e-05,2.0532872061589964e-06,0.044853281750004324,4.107142857142857,0.456875,142070.0,6210.0,935.0,9480.0
58.0,7.0,0.48379134036245686,0.039731655971795975,229338.80110234884,15.885055599938447,95.65828090351611,1.3056571825564249e-05,1.2408346290986566e-07,5.1737760677830474e-05,2.064584357496507e-06,0.07083170930033676,4.107142857142857,0.54825,141155.0,6266.0,937.0,9350.0
58.0,7.5,0.4788914908368122,0.03932925287065608,230477.67438919772,15.57622421643831,96.7696241107804,1.3331495508854566e-05,1.2524117441865538e-07,5.240099090511667e-05,2.1017256882323853e-06,0.09067675821825665,4.107142857142857,0.6396249999999999,141479.0,6220.0,916.0,9537.0
58.0,8.0,0.4794730159297891,0.0393770109700793,226530.4791156455,14.610186674373983,100.14459122654645,1.4212570073849672e-05,1.2901863286580835e-07,5.455353366707945e-05,2.2213182550739723e-06,0.09616841834493393,4.107142857142857,0.731,141243.0,6217.0,942.0,9482.0
58.0,8.5,0.48130413369522035,0.039527392622312786,226221.19810987916,12.321479515426105,108.68650053306999,1.685242942838233e-05,1.4095945967803935e-07,6.124879010926375e-05,2.5846202948359448e-06,0.08953230043543844,4.107142857142857,0.6396249999999999,141463.0,6246.0,984.0,9324.0
58.0,9.0,0.48529829221293175,0.039855415302511306,225695.59311995335,8.876390586509062,121.59651540813229,2.3473464441735163e-05,1.7549444617903068e-07,7.976345946271794e-05,3.5283634285238787e-06,0.075934988603348,4.107142857142857,0.54825,141763.0,6318.0,957.0,9485.0
58.0,9.5,0.48124116621559554,0.03952222138002476,227127.9070167879,5.9717808477926955,124.22074517109638,3.488583701147085e-05,2.5530677053557566e-07,0.00011846732874602118,5.265676763090277e-06,0.059953800063411326,4.107142857142857,0.456875,141753.0,6257.0,913.0,9393.0
58.0,10.0,0.4821730095907563,0.039598749579917186,227226.59431429856,4.474879905167528,112.5629647357423,4.6525244091631835e-05,3.7575126549156906e-07,0.00016870343342968697,7.177397936893761e-06,0.04464903430849742,4.107142857142857,0.3655,140989.0,6245.0,920.0,9553.0
61.0,5.0,0.4722422330942447,0.03878317856329546,223988.43436448625,13.345159323283585,95.16233830215305,1.553094541034789e-05,1.4836795242782515e-07,6.176206748108997e-05,2.4592332960875427e-06,0.010923774286137949,4.107142857142857,0.1955,141689.0,6131.0,912.0,9352.0
61.0,5.5,0.47846075303692776,0.0392938782687332,221699.63850950843,14.56414339000695,95.17173769871658,1.423919900365623e-05,1.360143954494042e-07,5.662122214812853e-05,2.254634074808649e-06,0.016391330644209893,4.107142857142857,0.29325,142575.0,6257.0,932.0,9472.0
61.0,6.0,0.4806460923027358,0.039473350575587,224044.0897728625,16.03799752972807,95.20313808757305,1.2952319035551784e-05,1.236811697954128e-07,5.1492049893237844e-05,2.0506909178401403e-06,0.026193503931364305,4.107142857142857,0.391,141185.0,6227.0,874.0,9466.0
61.0,6.5,0.4727241607962439,0.03882275716684129,228110.79586817545,15.998947318978281,95.30754136869072,1.2977601968243852e-05,1.2378684626321135e-07,5.155271550085258e-05,2.0540998322977217e-06,0.04486521733680501,4.107142857142857,0.48875,141905.0,6151.0,870.0,9512.0
61.0,7.0,0.48007949075305945,0.039426818081169136,231944.21303943853,15.888440724605266,95.65175508600908,1.3061382767206523e-05,1.2413765249939374e-07,5.175399973362546e-05,2.0654014546904468e-06,0.07085055782114973,4.107142857142857,0.5865,141501.0,6232.0,909.0,9423.0
61.0,7.5,0.4802226941228536,0.03943857874438895,227668.49524884162,15.54533761528922,96.76302247732842,1.3336407751344722e-05,1.2529586960264368e-07,5.241743813058356e-05,2.1025574847903943e-06,0.09070088756345263,4.107142857142857,0.68425,141561.0,6238.0,965.0,9406.0
61.0,8.0,0.46822874901795797,0.03845356875992892,222052.67517178567,14.58738828862109,100.13775935249971,1.4217806964982008e-05,1.290749777371756e-07,5.457065651633744e-05,2.2221973825876906e-06,0.09619400903662599,4.107142857142857,0.782,142852.0,6124.0,905.0,9376.0
61.0,8.5,0.4775146795164115,0.03921618140956037,225151.37062501322,12.347672501849386,108.67908592911455,1.6858639025786127e-05,1.410210193337817e-07,6.12680144148179e-05,2.5856432058071735e-06,0.08955612523713899,4.107142857142857,0.68425,141589.0,6212.0,933.0,9670.0
61.0,9.0,0.4792992515793509,0.039362740467869396,220469.82965362404,8.881768752290784,121.58822008166867,2.348211368512615e-05,1.7557108791500321e-07,7.978849501222075e-05,3.5297598431805033e-06,0.07595519512140694,4.107142857142857,0.5865,142024.0,6251.0,909.0,9621.0
61.0,9.5,0.4770318728273706,0.03917653061867295,221619.62718813927,5.974565231819426,124.21227081941535,3.489869136008902e-05,2.5541826781953774e-07,0.00011850451237237424,5.267760751420274e-06,0.05996975394140571,4.107142857142857,0.48875,142087.0,6219.0,888.0,9549.0
61.0,10.0,0.4870742153516696,0.04000126406269751,227914.9963304709,4.473022634378259,112.55528567901057,4.654238720065063e-05,3.7591536315909164e-07,0.00016875638478344433,7.180238524004059e-06,0.04466091554446865,4.107142857142857,0.391,141512.0,6329.0,912.0,9467.0
64.0,5.0,0.4788292576513179,0.03932414193271693,225564.9731053438,13.359958119236701,95.15596184689441,1.5536566221466115e-05,1.4843159415643814e-07,6.178110784981886e-05,2.4601892586459663e-06,0.0109266293960795,4.107142857142856,0.20825,141967.0,6235.0,893.0,9459.0
64.0,5.5,0.48116214567574134,0.03951573177047151,224659.20459284767,14.593636346465072,95.16536061364124,1.424435231827809e-05,1.3607273817841683e-07,5.66386776672125e-05,2.2555105047764334e-06,0.01639561479086577,4.107142857142856,0.312375,141763.0,6257.0,839.0,9483.0
64.0,6.0,0.48405781848044893,0.03975354064815281,223138.13270510203,16.023342531648833,95.19675889848077,1.2957006614892153e-05,1.237342222458501e-07,5.150792416132116e-05,2.0514880702451096e-06,0.026200350038901827,4.107142857142856,0.4165,142106.0,6310.0,892.0,9420.0
64.0,6.5,0.48507106585465454,0.039836754200623804,222356.75930601853,15.984612002536453,95.3011551839438,1.298229869774124e-05,1.2383994404306764e-07,5.156860847128159e-05,2.054898309828937e-06,0.04487694360692858,4.107142857142856,0.520625,142381.0,6335.0,911.0,9397.0
64.0,7.0,0.4785525916634253,0.039301420571392416,227625.26172025868,15.882746966485847,95.64534583685025,1.3066109817848815e-05,1.2419090075591913e-07,5.176995475712633e-05,2.0662043254314783e-06,0.07086907579183467,4.107142857142856,0.62475,141239.0,6211.0,960.0,9625.0
