temperature_C,pH,enrichment,thymine_fraction,dna_yield,half_life_hours,stability_ratio,k_U,k_T,k_C,k_A,poly_rate,uv_resistance_ratio,vesicle_fraction,comp_U,comp_T,comp_C,comp_A
73.0,5.5,2.7048961004433845,0.22214122564027797,1529211.653458691,21.60682525831162,95.14689499312169,1.4259286835309426e-05,1.3624183987335154e-07,5.668925919424819e-05,2.2580505673880435e-06,0.016408027992539955,4.107142857142857,0.26775,23519.0,9142.0,201.0,8292.0
73.0,6.0,2.6725109362850077,0.21948157447751274,1531502.5178416227,23.556900989711497,95.17828718552576,1.2970591411985165e-05,1.238879904949741e-07,5.155392363669429e-05,2.0537983712321186e-06,0.026220186454499257,4.107142857142857,0.357,23319.0,8916.0,227.0,8161.0
73.0,6.5,2.792456125795281,0.22933214559671392,1535074.5629552803,23.877847640880024,95.28266321422548,1.2995910012364405e-05,1.23993843675857e-07,5.1614662141159086e-05,2.057212451286671e-06,0.044910920164600826,4.107142857142857,0.44625,22868.0,9268.0,212.0,8065.0
73.0,7.0,2.736437376253433,0.22473157196284232,1527345.1908017765,23.616024159606646,95.62678708133987,1.3079809004392912e-05,1.2434523653319843e-07,5.181618824056974e-05,2.068531199256212e-06,0.07092273112232933,4.107142857142857,0.5355,23520.0,9314.0,227.0,8384.0
73.0,7.5,2.6832868066512927,0.22036654933851196,1527368.455707157,23.099898492643966,96.73776439821792,1.3355221977741769e-05,1.2550539041689715e-07,5.2480423836653896e-05,2.1057435326394882e-06,0.09079328178978882,4.107142857142857,0.62475,23438.0,9078.0,217.0,8462.0
73.0,8.0,2.6770035714183096,0.21985053485077907,1531546.661340979,21.67409390013989,100.1116203648687,1.4237864617994428e-05,1.2929081800805612e-07,5.4636229567100427e-05,2.2255647231918224e-06,0.09629199893817904,4.107142857142857,0.714,23358.0,9002.0,208.0,8378.0
73.0,8.5,2.6796946837734454,0.22007154407801244,1528021.1436809904,18.265156033913396,108.65071739659277,1.6882422210680512e-05,1.412568358765885e-07,6.134163512741035e-05,2.589561283212419e-06,0.0896473533290269,4.107142857142857,0.62475,23333.0,8982.0,222.0,8277.0
73.0,9.0,2.727077771079149,0.22396290873596877,1529247.7739832324,13.235126907942853,121.55648187420982,2.3515240881848862e-05,1.7586467937508868e-07,7.988437025667879e-05,3.5351085596068255e-06,0.0760325683608314,4.107142857142857,0.5355,23454.0,9178.0,177.0,8171.0
73.0,9.5,2.711839821793975,0.22271148294926366,1530501.4245669774,8.915556676757399,124.17984765525068,3.494792439888412e-05,2.558453804100682e-07,0.00011864690945720884,5.2757430957476035e-06,0.06003084329971119,4.107142857142857,0.44625,23298.0,9104.0,190.0,8286.0
73.0,10.0,2.7053914454025443,0.2221819061441703,1527224.5996888976,6.650646333641176,112.52590534097234,4.660804648658268e-05,3.765439720129131e-07,0.00016895916539288544,7.191118884551091e-06,0.04470641025626307,4.107142857142857,0.357,23457.0,9185.0,232.0,8466.0
